estrategia,variable_1,variable_2,fuente_referencia,r_referencia,r_S1,r_train_estrategia,signo_preservado,magnitud_absoluta_referencia,magnitud_absoluta_estrategia,razon_magnitud_absoluta,categoria_magnitud_referencia,categoria_magnitud_estrategia,orden_magnitud_preservado,desviacion_absoluta
casos_completos,MinTemp,RainTomorrow_bin,Matriz de correlaciones de S1,0.084,0.084,0.08815714697633467,True,0.084,0.08815714697633467,1.049489844956365,muy_debil,muy_debil,True,0.004157146976334666
casos_completos,MinTemp,Temp9am,Matriz de correlaciones de S1,0.902,0.902,0.9029851465482344,True,0.902,0.9029851465482344,1.0010921802086856,muy_fuerte,muy_fuerte,True,0.0009851465482343391
casos_completos,MaxTemp,RainTomorrow_bin,Matriz de correlaciones de S1,-0.159,-0.159,-0.16117557215076023,True,0.159,0.16117557215076023,1.013682843715473,debil,debil,True,0.0021755721507602244
casos_completos,MaxTemp,Temp3pm,Matriz de correlaciones de S1,0.985,0.985,0.9843685348897816,True,0.985,0.9843685348897816,0.9993589186698291,muy_fuerte,muy_fuerte,True,0.0006314651102183877
casos_completos,Rainfall,RainTomorrow_bin,Matriz de correlaciones de S1,0.239,0.239,0.24262904646109776,True,0.239,0.24262904646109776,1.0151842948163086,debil,debil,True,0.003629046461097768
casos_completos,Rainfall,Humidity3pm,Matriz de correlaciones de S1,0.256,0.256,0.2601405294573987,True,0.256,0.2601405294573987,1.0161739431929635,debil,debil,True,0.004140529457398678
casos_completos,WindGustSpeed,RainTomorrow_bin,Matriz de correlaciones de S1,0.234,0.234,0.23847986892049214,True,0.234,0.23847986892049214,1.019144738976462,debil,debil,True,0.004479868920492125
casos_completos,WindGustSpeed,Pressure9am,Matriz de correlaciones de S1,-0.459,-0.459,-0.45881943542030346,True,0.459,0.45881943542030346,0.9996066131161295,moderada,moderada,True,0.0001805645796965627
casos_completos,Humidity9am,RainTomorrow_bin,Matriz de correlaciones de S1,0.257,0.257,0.26061242546473207,True,0.257,0.26061242546473207,1.0140561302129651,debil,debil,True,0.003612425464732061
casos_completos,Humidity9am,Humidity3pm,Matriz de correlaciones de S1,0.667,0.667,0.6750343867775064,True,0.667,0.6750343867775064,1.0120455573875657,fuerte,fuerte,True,0.008034386777506342
casos_completos,Humidity3pm,RainTomorrow_bin,Matriz de correlaciones de S1,0.446,0.446,0.4540017181524474,True,0.446,0.4540017181524474,1.0179410720906892,moderada,moderada,True,0.008001718152447379
casos_completos,Humidity3pm,Humidity9am,Matriz de correlaciones de S1,0.667,0.667,0.6750343867775064,True,0.667,0.6750343867775064,1.0120455573875657,fuerte,fuerte,True,0.008034386777506342
casos_completos,Pressure9am,RainTomorrow_bin,Matriz de correlaciones de S1,-0.246,-0.246,-0.24879798604932946,True,0.246,0.24879798604932946,1.0113739270297946,debil,debil,True,0.0027979860493294595
casos_completos,Pressure9am,Pressure3pm,Matriz de correlaciones de S1,0.961,0.961,0.9617240198289545,True,0.961,0.9617240198289545,1.0007534025275282,muy_fuerte,muy_fuerte,True,0.0007240198289545363
casos_completos,Pressure3pm,RainTomorrow_bin,Matriz de correlaciones de S1,-0.226,-0.226,-0.22924943656999763,True,0.226,0.22924943656999763,1.0143780379203435,debil,debil,True,0.003249436569997627
casos_completos,Pressure3pm,Pressure9am,Matriz de correlaciones de S1,0.961,0.961,0.9617240198289553,True,0.961,0.9617240198289553,1.0007534025275289,muy_fuerte,muy_fuerte,True,0.0007240198289553135
